ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
4631D845EEA51FA3,electric_bike,2023-12-31 23:39:35.165,2024-01-01 00:04:03.464,Flatbush Ave & Ocean Ave,3704.04,Flatbush Ave & Ocean Ave,3704.04,40.66366,-73.95454,40.66366,-73.95454,member
01AEDE9A227737A3,electric_bike,2023-12-31 23:58:54.130,2024-01-01 00:04:04.381,Wyckoff Ave & Stanhope St,4931.05,Bushwick Ave & Linden St,4600.09,40.70354,-73.91268,40.69146,-73.91609,casual
FCADF8ECAAFAC4AE,electric_bike,2023-12-31 23:46:09.089,2024-01-01 00:04:12.019,St Nicholas Ave & Manhattan Ave,7723.01,Central Park West & W 68 St,7079.06,40.80972,-73.94541,40.77341,-73.96824,member
B3EB65C783D43AB6,classic_bike,2024-01-01 00:03:14.674,2024-01-01 00:04:17.645,23 St & 31 Ave,6929.01,31 Ave & Crescent St,6893.10,40.76664,-73.92275,40.76583,-73.9208,member
6994A7230C5DB360,electric_bike,2023-12-31 23:56:10.801,2024-01-01 00:04:17.936,E 97 St & Madison Ave,7393.09,Riverside Dr & W 104 St,7623.13,40.7878,-73.94579,40.80134,-73.96206,member
043124BEA7B1A1DF,electric_bike,2023-12-31 23:57:55.831,2024-01-01 00:04:18.697,Washington Ave & Park Ave,4724.03,DeKalb Ave & Hudson Ave,4513.06,40.6961,-73.95869,40.68989,-73.97118,member
52884809A85A7C8C,electric_bike,2023-12-31 23:29:57.810,2024-01-01 00:04:20.830,E 81 St & York Ave,7084.12,E 33 St & 5 Ave,6322.01,40.77284,-73.9424,40.74766,-73.97478,casual
02780DCA3001B783,electric_bike,2023-12-31 23:56:33.094,2024-01-01 00:04:20.834,Empire Blvd & New York Ave,3728.04,Bedford Ave & Bergen St,4066.15,40.66403,-73.94036,40.67637,-73.9452,member
E0B91395E0EAB252,electric_bike,2023-12-31 23:57:21.273,2024-01-01 00:04:22.456,Metropolitan Ave & Meeker Ave,5300.05,Broadway & Roebling St,5125.07,40.71413,-73.94466,40.70925,-73.95233,member
CF3C87DA88AAE017,electric_bike,2023-12-31 23:51:10.862,2024-01-01 00:04:23.299,E 188 St & Creston Ave,8566.05,Tiebout Ave & E 184 St,8510.02,40.86167,-73.89494,40.8585,-73.89288,member
AC9D18E015ACCC43,electric_bike,2024-01-01 00:00:29.680,2024-01-01 00:04:23.978,3 Ave & E 169 St,8103.05,Grand Concourse & E 167 St,8126.07,40.83268,-73.90102,40.83426,-73.91256,member
C395BA5E8CCDF582,electric_bike,2023-12-31 23:45:01.306,2024-01-01 00:04:27.402,St Nicholas Ave & Manhattan Ave,7723.01,E 81 St & 3 Ave,7154.07,40.80972,-73.94541,40.77573,-73.94875,member
98C71E9A6FEA9A7D,electric_bike,2023-12-31 23:36:03.655,2024-01-01 00:04:28.241,W 13 St & 5 Ave,5947.04,Brooklyn Ave & Prospect Pl,4057.04,40.73544,-73.98349,40.67412,-73.93738,member
D539B68DCA91D766,electric_bike,2023-12-31 23:53:44.379,2024-01-01 00:04:46.289,W 76 St & Columbus Ave,7281.09,Broadway & W 58 St,6948.10,40.78018,-73.96774,40.76695,-73.97182,member
5D799173B72BCF61,classic_bike,2024-01-01 00:02:35.728,2024-01-01 00:04:47.739,N 7 St & Driggs Ave,5340.01,N 12 St & Bedford Ave,5450.04,40.71697,-73.9484,40.7208,-73.94698,member
D388BC55B09D8FF6,classic_bike,2023-12-31 23:42:33.758,2024-01-01 00:04:48.274,W 34 St & Hudson Blvd E,6535.04,8 Ave & W 38 St,6526.05,40.75517,-73.9893,40.75461,-73.98114,casual
F657BEFE495E9C11,electric_bike,2023-12-31 23:36:18.013,2024-01-01 00:04:49.712,W 13 St & 5 Ave,5947.04,Brooklyn Ave & Prospect Pl,4057.04,40.73544,-73.98349,40.67412,-73.93738,member
6A9EDC87136B0DFF,electric_bike,2023-12-31 23:35:01.969,2024-01-01 00:04:49.804,W 54 St & 6 Ave,6771.13,Maiden Ln & Pearl St,5065.10,40.76186,-73.9677,40.70707,-73.99552,casual
AE5906E657AC5879,electric_bike,2023-12-31 23:37:15.416,2024-01-01 00:04:59.464,E 11 St & 1 Ave,5746.14,W 36 St & 7 Ave,6483.06,40.72954,-73.9742,40.75215,-73.97907,casual
17B51966E14119D0,electric_bike,2023-12-31 23:57:44.743,2024-01-01 00:05:04.228,W 45 St & 8 Ave,6676.02,W 45 St & 8 Ave,6676.02,40.75929,-73.9782,40.75929,-73.9782,casual
B74B5BB0911D011B,classic_bike,2023-12-31 23:52:25.856,2024-01-01 00:05:07.595,W 56 St & 6 Ave,6809.07,E 67 St & Park Ave,6932.14,40.7634,-73.96768,40.7678,-73.95722,member
61844EA13F7F4B55,electric_bike,2023-12-31 23:39:10.533,2024-01-01 00:05:10.283,Warren St & W Broadway,5288.09,Milton St & Franklin St,5752.07,40.71474,-73.99718,40.72906,-73.9497,member
8573E29139D656D9,classic_bike,2023-12-31 23:53:53.552,2024-01-01 00:05:12.256,Bushwick Ave & Stagg St,5140.06,S 3 St & Bedford Ave,5235.05,40.7099,-73.93332,40.7126,-73.95419,member
7DCBA74CEA3B7AF5,electric_bike,2023-12-31 23:58:46.667,2024-01-01 00:05:18.016,E 17 St & Broadway,5980.07,Delancey St & Eldridge St,5414.07,40.73705,-73.97958,40.71938,-73.98087,member
992F792876C3CAC9,electric_bike,2023-12-31 23:38:42.408,2024-01-01 00:05:28.182,Warren St & W Broadway,5288.09,Milton St & Franklin St,5752.07,40.71474,-73.99718,40.72906,-73.9497,casual
CA92AF7EB944F81C,electric_bike,2023-12-31 23:52:32.472,2024-01-01 00:05:29.481,Allen St & Hester St,5342.10,Broadway & W 29 St,6289.06,40.71606,-73.98126,40.7462,-73.97816,member
D15DBECF4A14CACF,electric_bike,2023-12-31 23:40:56.477,2024-01-01 00:05:42.844,W 100 St & Manhattan Ave,7538.14,1 Ave & E 68 St,6822.09,40.795,-73.95591,40.765,-73.95007,member
DB32CCE8F7F01878,electric_bike,2023-12-31 23:48:31.571,2024-01-01 00:05:53.723,St Nicholas Ave & W 134 St,7837.30,Edgecombe Ave & W 141 St,7915.11,40.81623,-73.94085,40.82068,-73.938,member
381FEE322EA212D8,electric_bike,2023-12-31 23:47:42.209,2024-01-01 00:05:54.094,E 103 St & Lexington Ave,7463.09,Sherman Ave & E 166 St,8072.06,40.79031,-73.94024,40.83131,-73.91238,member
549F088BCA124785,electric_bike,2023-12-31 23:59:42.846,2024-01-01 00:05:56.033,E 78 St & 2 Ave,7057.07,E 102 St & 1 Ave,7407.13,40.7728,-73.94784,40.78699,-73.93477,member
277B5D033EE1EBB4,electric_bike,2024-01-01 00:03:44.022,2024-01-01 00:06:03.960,53 St & 4 Ave,3169.07,52 St & 1 Ave,3253.01,40.64486,-74.0022,40.64929,-74.00735,member
B4E2C353A2964632,classic_bike,2024-01-01 00:00:13.253,2024-01-01 00:06:08.134,W 56 St & 6 Ave,6809.07,W 56 St & 6 Ave,6809.07,40.7634,-73.96768,40.7634,-73.96768,casual
DF0F890C08FD9C33,classic_bike,2023-12-31 23:46:32.586,2024-01-01 00:06:15.089,5 Ave & E 63 St,6904.06,Grand Army Plaza & Central Park S,6839.10,40.76637,-73.9624,40.7644,-73.96443,casual
045DBA4DD6C58523,electric_bike,2023-12-31 23:24:11.773,2024-01-01 00:06:22.110,Jerome Ave & W Fordham Rd,8586.09,Riverside Dr & W 91 St,7524.16,40.86294,-73.89724,40.79313,-73.96748,member
E966265100B9B13A,electric_bike,2024-01-01 00:04:17.238,2024-01-01 00:06:29.533,W 43 St & 10 Ave,6756.01,W 47 St & 10 Ave,6824.07,40.76009,-73.98377,40.7627,-73.98228,member
788806C83E0F8419,electric_bike,2024-01-01 00:00:03.208,2024-01-01 00:06:29.930,E 102 St & 1 Ave,7407.13,Central Park W & W 97 St,7538.18,40.78699,-73.93477,40.7925,-73.9556,member
F1F9CBC29534A46F,electric_bike,2024-01-01 00:03:35.947,2024-01-01 00:06:39.857,Lenox Ave & W 130 St,7753.13,St Nicholas Ave & Manhattan Ave,7723.01,40.81079,-73.93608,40.80972,-73.94541,member
A08734ACD3974893,electric_bike,2024-01-01 00:03:55.733,2024-01-01 00:06:42.580,Eastern Pkwy & Kingston Ave,3902.06,Eastern Pkwy & Schenectady Ave,3893.03,40.66959,-73.93544,40.66876,-73.92747,member
79389F26D1928546,electric_bike,2023-12-31 23:41:01.650,2024-01-01 00:06:42.583,E 40 St & 5 Ave,6474.11,Frederick Douglass Blvd & W 112 St,7631.23,40.75206,-73.97176,40.80169,-73.9491,member
2C5D5D65ACB8D9FD,electric_bike,2023-12-31 23:59:30.925,2024-01-01 00:06:46.073,Sherman Ave & E 166 St,8072.06,E 144 St & Brook Ave,7777.02,40.83131,-73.91238,40.81168,-73.912,casual
49DB85C9CE07BB70,electric_bike,2023-12-31 23:44:57.221,2024-01-01 00:06:52.703,E 20 St & FDR Dr,5886.13,W 78 St & Broadway,7311.07,40.73321,-73.96626,40.7834,-73.97111,member
0809C2B1A0D821A0,electric_bike,2023-12-31 23:38:47.808,2024-01-01 00:07:06.045,Jefferson St & Cypress Ave,5082.08,Columbus Pl & Atlantic Ave,4146.02,40.70907,-73.9162,40.67717,-73.91738,member
107A5C1BFF4FD263,electric_bike,2023-12-31 23:46:15.717,2024-01-01 00:07:19.350,E 58 St & 3 Ave,6762.02,Central Park S & 6 Ave,6876.04,40.76096,-73.95845,40.76591,-73.96687,casual
E987DBA6B70142E2,classic_bike,2023-12-31 22:10:37.905,2024-01-01 00:07:22.780,W 42 St & Dyer Ave,6644.07,Pier 40 - Hudson River Park,5696.03,40.75898,-73.98302,40.72771,-73.9992,casual
B293C36EDF1122FD,classic_bike,2023-12-31 22:13:09.291,2024-01-01 00:07:27.183,W 42 St & Dyer Ave,6644.07,Pier 40 - Hudson River Park,5696.03,40.75898,-73.98302,40.72771,-73.9992,casual
4DA87139FE508AAD,classic_bike,2023-12-31 23:52:37.470,2024-01-01 00:07:35.419,E 3 St & 1 Ave,5553.03,Clinton St & Grand St,5303.06,40.72468,-73.97749,40.7156,-73.97675,member
19BC7BDF62D95768,electric_bike,2023-12-31 23:44:55.424,2024-01-01 00:07:40.051,Rivington St & Chrystie St,5453.01,6 Ave & W 34 St,6364.10,40.7211,-73.98128,40.74964,-73.9777,casual
6B55E445F407BD0E,classic_bike,2023-12-31 23:42:42.266,2024-01-01 00:07:42.087,Rivington St & Chrystie St,5453.01,Ave A & E 14 St,5779.11,40.7211,-73.98128,40.73031,-73.97069,member
B846EB3FB1BBCD84,electric_bike,2023-12-31 23:59:28.327,2024-01-01 00:07:50.856,E Tremont Ave & E 176 St,8356.02,Sedgwick Ave & W Tremont Ave,8428.05,40.8478,-73.89798,40.85304,-73.91318,member
32D8C7FE2199DF2C,electric_bike,2023-12-31 23:51:37.588,2024-01-01 00:07:58.658,Rivington St & Chrystie St,5453.01,Richardson St & N Henry St,5433.03,40.7211,-73.98128,40.71908,-73.93532,member
434D9934BC23BF9E,electric_bike,2023-12-31 23:44:04.602,2024-01-01 00:07:58.873,Rivington St & Chrystie St,5453.01,6 Ave & W 34 St,6364.10,40.7211,-73.98128,40.74964,-73.9777,member
82279212B4702956,electric_bike,2023-12-31 23:51:03.608,2024-01-01 00:08:09.599,Court St & State St,4488.08,Rivington St & Chrystie St,5453.01,40.69024,-73.98138,40.7211,-73.98128,member
45D0EA19D6644FF3,electric_bike,2023-12-31 23:46:09.778,2024-01-01 00:08:10.560,E 58 St & 3 Ave,6762.02,Central Park S & 6 Ave,6876.04,40.76096,-73.95845,40.76591,-73.96687,casual
93C1E1A9BA68C92A,electric_bike,2024-01-01 00:03:01.223,2024-01-01 00:08:12.594,8 Ave & W 16 St,6072.11,10 Ave & W 28 St,6459.04,40.74098,-73.99033,40.75066,-73.99039,member
8B57B23D67712A86,electric_bike,2023-12-31 23:48:05.405,2024-01-01 00:08:13.760,E 58 St & 3 Ave,6762.02,Central Park S & 6 Ave,6876.04,40.76096,-73.95845,40.76591,-73.96687,casual
B70B675AAE0BBC6F,electric_bike,2024-01-01 00:05:49.831,2024-01-01 00:08:16.105,Engert Ave & McGuinness Blvd,5473.03,Nassau Ave & Russell St,5581.01,40.72158,-73.93829,40.72557,-73.93726,member
